4k_twolevel301_shoc_Scan, start_time:1462770353, end_time:1462770393, run_time:40, exit_point:2, kernel_count:3
8_shoc_Reduction, start_time:1462770317, end_time:1462770391, run_time:74, exit_point:2, kernel_count:6
2k_swl4_CUDA_STO, start_time:1462769795, end_time:1462770393, run_time:598, exit_point:2, kernel_count:1
4k_swl8_shoc_Scan, start_time:1462770348, end_time:1462770394, run_time:46, exit_point:2, kernel_count:3
2k_twolevel301_CUDA_BFS, start_time:1462770388, end_time:1462770394, run_time:6, exit_point:2, kernel_count:1

4k_swl1_CUDA_LPS, start_time:1462769738, end_time:1462770398, run_time:660, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_BFS, start_time:1462770388, end_time:1462770399, run_time:11, exit_point:2, kernel_count:2
4k_gto_shoc_Scan, start_time:1462770386, end_time:1462770401, run_time:15, exit_point:2, kernel_count:1
4k_gto_shoc_Scan, start_time:1462770386, end_time:1462770401, run_time:15, exit_point:2, kernel_count:2
:4
4k_swl16_shoc_Scan, start_time:1462770344, end_time:1462770402, run_time:58, exit_point:2, kernel_count:5
4k_twolevel301_shoc_Scan, start_time:1462770353, end_time:1462770406, run_time:53, exit_point:2, kernel_count:4
4k_twolevel301_shoc_Scan, start_time:1462770353, end_time:1462770406, run_time:53, exit_point:2, kernel_count:5
2k_twolevel301_CUDA_BFS, start_time:1462770388, end_time:1462770406, run_time:18, exit_point:2, kernel_count:3
4k_twolevel1201_shoc_Scan, start_time:1462770362, end_time:1462770408, run_time:46, exit_point:2, kernel_count:3
4k_twolevel601_shoc_Scan, start_time:1462770365, end_time:1462770409, run_time:44, exit_point:2, kernel_count:3
_shoc_Scan, start_time:1462770348, end_time:1462770409, run_time:61, exit_point:2, kernel_count:5
2k_swl1_CUDA_STO, start_time:1462769793, end_time:1462770412, run_time:619, exit_point:2, kernel_count:1
4k_swl8_CUDA_BFS, start_time:1462769976, end_time:1462770415, run_time:439, exit_point:2, kernel_count:6
2k_swl8_shoc_Reduction, start_time:1462770317, end_time:1462770416, run_time:99, exit_point:2, kernel_count:8
4k_swl4_shoc_Scan, start_time:1462770354, end_time:1462770418, run_time:64, exit_point:2, kernel_count:4
4k_swl4_shoc_Scan, start_time:1462770354, end_time:1462770418, run_time:64, exit_point:2, kernel_count:5
